LONG,LAT,Cluster
9.3498486,56.7408757,cluster_2
9.3501884,56.7406785,cluster_2
9.3505485,56.7405445,cluster_3
9.3508058,56.7404845,cluster_3
9.3510534,56.7404863,cluster_4
9.3514747,56.7405022,cluster_5
9.3521273,56.7405585,cluster_6
9.3524201,56.7405974,cluster_7
9.3525839,56.7406290,cluster_8
9.3527255,56.7406626,cluster_9
9.3530759,56.7408002,cluster_10
9.3534040,56.7409042,cluster_11
9.3537287,56.7409995,cluster_12
9.3541790,56.7410594,cluster_13
9.3545810,56.7411511,cluster_14
9.3547868,56.7412058,cluster_15
9.3551147,56.7412693,cluster_16
9.3553365,56.7412905,cluster_16
9.3555810,56.7412975,cluster_16
8.5856624,57.0106364,cluster_19
8.5851822,57.0099725,cluster_19
8.5834239,57.0089128,cluster_19
8.5831331,57.0085517,cluster_19
8.5825621,57.0078424,cluster_19
8.5825197,57.0077898,cluster_19
8.5818832,57.0069995,cluster_19
8.5812759,57.0062707,cluster_19
8.5617847,57.0231006,cluster_20
8.5610765,57.0227781,cluster_20
8.5605030,57.0228637,cluster_20
8.5595327,57.0230085,cluster_20
8.5052981,57.0427326,cluster_21
8.5053563,57.0452650,cluster_21
8.5038165,57.0452699,cluster_21
8.5038165,57.0452699,cluster_21
8.5058627,57.0443316,cluster_21
8.5064511,57.0444156,cluster_21
8.5066534,57.0444345,cluster_21
8.5069191,57.0444476,cluster_21
8.5070322,57.0444408,cluster_21
8.5071685,57.0444222,cluster_21
8.5073621,57.0443894,cluster_21
8.5075176,57.0443477,cluster_21
8.5076101,57.0443768,cluster_21
8.5076473,57.0444173,cluster_21
8.5076518,57.0445107,cluster_21
8.5075176,57.0443477,cluster_21
8.5075775,57.0443127,cluster_21
8.5076333,57.0442689,cluster_21
8.5076580,57.0442150,cluster_21
8.5076612,57.0441594,cluster_21
8.5077825,57.0434855,cluster_21
8.5078162,57.0434553,cluster_21
8.5109209,57.0415404,cluster_21
8.5105537,57.0412931,cluster_21
8.5104987,57.0407147,cluster_21
8.5108529,57.0405045,cluster_21
8.5090345,57.0402727,cluster_21
8.5093407,57.0400268,cluster_21
8.5103032,57.0398273,cluster_21
8.5120992,57.0395103,cluster_21
8.5135412,57.0392283,cluster_21
8.5138592,57.0391655,cluster_21
8.5147731,57.0389894,cluster_21
8.5138592,57.0391655,cluster_21
